DATA=Galaxy 15_sm_f
GALAXY_SEED=-627442642
+SYS_431170167|SEED=-1876664646:NAME=Bh'ul Da Da
+OBJ_428558472|P=SYS_1963081195:DTYPE=1:DEFNAME=Salvage:DEFCLASS=A:MAX_SCRAP=169:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=2059127346:SEED_D=1086961090:NAME=Argus
+SYS_1808819291|SEED=-1876597926:NAME=Altamira:SG=True:SG_OTHER=GX_13241896:GXE_P=GXE_737483010
+OBJ_903033471|P=SYS_1808819291:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=408700285:SEED_D=-1876597926:NAME=Aristotle
+OBJ_1065697686|P=SYS_1808819291:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=247977315:SEED_D=-1448292542:NAME=Jimson
+OBJ_653563374|P=SYS_1808819291:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=130:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1817064964:SEED_D=551921180:NAME=The Nuclear Fridge
+OBJ_949868415|P=SYS_1808819291:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1166766120:SEED_D=-1623562317:NAME=Inquisitor
+OBJ_83653597|P=SYS_1808819291:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=45:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1007101523:SEED_D=1256771136:NAME=Coeus
+OBJ_819624876|P=SYS_1808819291:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=38:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1491982180:SEED_D=-735529026:NAME=Lycorhinus
+OBJ_744285798|P=SYS_1808819291:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=1820627681:SEED_D=-1210579009:NAME=Triche
+OBJ_1444805690|P=SYS_1808819291:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=22:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-82934523:SEED_D=1406367231:NAME=Adrar
+SYS_935468388|SEED=-1876572156:NAME=Perry
+OBJ_2003271119|P=SYS_935468388:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=114:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-143279337:SEED_D=-1876572156:NAME=Never Respectable
+OBJ_665172196|P=SYS_935468388:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=130:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=65460997:SEED_D=1048072957:NAME=Billy
+OBJ_1748604259|P=SYS_935468388:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=109:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1240720323:SEED_D=-1045837497:NAME=Kamchatka
+OBJ_1226197151|P=SYS_935468388:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=30:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1338338544:SEED_D=979751519:NAME=Yellow Shell
+OBJ_963679157|P=SYS_935468388:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=19:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.5882353:SEED_C=471855882:SEED_D=-1181721379:NAME=Islay
+OBJ_999109456|P=SYS_935468388:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=3:DMIN=0.254902:DMAX=0.5882353:SEED_C=-1841718106:SEED_D=-521892027:NAME=Barr
+OBJ_54294523|P=SYS_935468388:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=3:DMIN=0.254902:DMAX=0.5882353:SEED_C=-105669404:SEED_D=-1391251002:NAME=Ujiji
+OBJ_1311267062|P=SYS_935468388:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.5882353:SEED_C=-840335052:SEED_D=1862234237
