DATA=Galaxy 8_sm
GALAXY_SEED=-941080605
+SYS_172235978|SEED=-1874030076:NAME=Inanna
+OBJ_1183010792|P=SYS_1360719958:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=12:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-600122287:SEED_D=-422517460:NAME=Longline
+OBJ_1312556574|P=SYS_1360719958:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=26:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=841429707:SEED_D=1088720030:NAME=Scattered Snow:AI=2
+OBJ_1766289176|P=SYS_1360719958:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=74:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-255697653:SEED_D=1134592660:NAME=Safe Distance
+OBJ_879623849|P=SYS_1360719958:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=11:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1915384052:SEED_D=1979378662:NAME=Mad Stork
+OBJ_1938037141|P=SYS_1360719958:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=18:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1054971002:SEED_D=1025912175:NAME=Fermi
+OBJ_1454777857|P=SYS_1360719958:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=48:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1875940458:SEED_D=1393184534:NAME=Tharsis
+OBJ_1513346205|P=SYS_1360719958:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=1759869477:SEED_D=-31553497
+SYS_448449258|SEED=-1873944226:NAME=Suborn
+OBJ_1051495860|P=SYS_448449258:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=100:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-245623779:SEED_D=-1873944226:NAME=Clytemnestra
+OBJ_556253413|P=SYS_448449258:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=43:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=701404363:SEED_D=1685497029:NAME=Wraiths Revenge
+OBJ_148363698|P=SYS_448449258:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=18:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-114485525:SEED_D=-2935382:NAME=Mamaku
+OBJ_1475718934|P=SYS_448449258:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=137:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1536899063:SEED_D=-343431610:NAME=No Rush
+OBJ_364228625|P=SYS_448449258:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=22:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-477281664:SEED_D=-374929460:NAME=Banner
+OBJ_1706469574|P=SYS_448449258:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=63:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=473030156:SEED_D=1816046785:NAME=Myleira
+OBJ_265814978|P=SYS_448449258:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-1383873504:SEED_D=-796284896
+OBJ_995150173|P=SYS_448449258:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-1992120486:SEED_D=-116242721
