DATA=Galaxy 7_sm
GALAXY_SEED=-63103894
+SYS_572388426|SEED=-1875073186:NAME=Windsor
+OBJ_1690849096|P=SYS_961950345:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.254902:DMAX=0.627451:SEED_C=-2134009876:SEED_D=1033903352:NAME=Davenport
+OBJ_1424296610|P=SYS_961950345:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=1803632813:SEED_D=-641961458:NAME=Rishyamukha
+OBJ_1477054694|P=SYS_961950345:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-514904705:SEED_D=-60364585
+SYS_316197596|SEED=-1874960236:NAME=Tooie:SG=True:SG_CHILD=True:SG_OTHER=GX_2037759964:GXE_P=GXE_485166252:SP=2
+OBJ_1885605141|P=SYS_316197596:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=17:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-280928445:SEED_D=-1874960236:NAME=All For Nothing
+OBJ_1254512433|P=SYS_316197596:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=80:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-2036910919:SEED_D=1753913253:NAME=Pale Tussock
+OBJ_1191186017|P=SYS_316197596:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-495241529:SEED_D=948634816:NAME=Nickeyne:AI=1
+OBJ_1647667569|P=SYS_316197596:DTYPE=1:DEFNAME=Private:DEFCLASS=C:MAX_SCRAP=15:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-556472683:SEED_D=1333635584:NAME=Nabucco
+OBJ_503182034|P=SYS_316197596:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=2:DMIN=0.254902:DMAX=0.627451:SEED_C=203190879:SEED_D=-1430118461:NAME=Kavanga
+OBJ_204402344|P=SYS_316197596:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-662984519:SEED_D=799975094
