DATA=Galaxy 9_sm_f
GALAXY_SEED=1104599605
+SYS_1004758724|SEED=-1872285466:NAME=Kornarion
+OBJ_1804662431|P=SYS_599965234:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1701276614:SEED_D=-1872195326:NAME=Ada
+OBJ_1552184211|P=SYS_599965234:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1027232033:SEED_D=1801427082:NAME=Hopes
+OBJ_1358238704|P=SYS_599965234:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1121277932:SEED_D=259981896:NAME=Maximinus Thrax
+OBJ_218217919|P=SYS_599965234:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=17:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1103013365:SEED_D=1252165453:NAME=Bragana
+OBJ_432738851|P=SYS_599965234:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=26:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1603911497:SEED_D=-1619580020:NAME=Farris
+OBJ_1077939131|P=SYS_599965234:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=568581801:SEED_D=1745793464
+SYS_1267387930|SEED=-1872173396:NAME=Urien
+OBJ_1058465954|P=SYS_1267387930:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=30:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-641183370:SEED_D=-1872173396:NAME=Shab o Ruz
+OBJ_8767729|P=SYS_1267387930:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=90:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-2089919444:SEED_D=-198619898:NAME=Heretic
+OBJ_1542265167|P=SYS_1267387930:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=35:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=759487878:SEED_D=1576419218:NAME=Lyra
+OBJ_666061252|P=SYS_1267387930:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=46:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1521930807:SEED_D=-777484078:NAME=Attic
+OBJ_648400771|P=SYS_1267387930:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1053062087:SEED_D=-171116497:NAME=Elizabeth Rose
+OBJ_556364178|P=SYS_1267387930:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-831768652:SEED_D=-1202153555:NAME=Mango
+OBJ_1530746539|P=SYS_1267387930:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=54:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-222094921:SEED_D=489380226:NAME=Dalian
+OBJ_2141410735|P=SYS_1267387930:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=52:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=923105940:SEED_D=1097155514:NAME=Eurynome
+SYS_697004033|SEED=-1872137986:NAME=Sol:SG=True:SG_CHILD=True:SG_OTHER=GX_945220494:GXE_P=GXE_737483010:SP=1
+OBJ_1716118563|P=SYS_697004033:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1970650451:SEED_D=-1872137986:NAME=Botany Bay
+OBJ_966017628|P=SYS_697004033:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=28:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-482893880:SEED_D=-2035890638:NAME=Hoxton
+OBJ_1329981544|P=SYS_697004033:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=20:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1550241672:SEED_D=1999484600:NAME=New Hope
+OBJ_965824135|P=SYS_697004033:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-467648968:SEED_D=-664582013:NAME=Port-Au-Prince
+OBJ_808009182|P=SYS_697004033:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-70644990:SEED_D=1079210010:NAME=Ganonsyoni
+OBJ_1589370052|P=SYS_697004033:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=38:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1235435222:SEED_D=1561856882:NAME=Pandemia
+OBJ_1383264278|P=SYS_697004033:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=1710727224:SEED_D=2108862042
+OBJ_2037075009|P=SYS_697004033:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=839422340:SEED_D=-370854287
+SYS_596645188|SEED=-1872111266:NAME=Tayha
+OBJ_516100492|P=SYS_596645188:DTYPE=1:DEFNAME=Medical:DEFCLASS=A:MAX_SCRAP=55:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=501973126:SEED_D=-1872111266:NAME=Peppered Moth
+OBJ_828702456|P=SYS_596645188:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=12:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1970790154:SEED_D=2144817134:NAME=Larusa
+OBJ_970711133|P=SYS_596645188:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=37:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=649860848:SEED_D=1324116845:NAME=Fowler
+OBJ_1978499524|P=SYS_596645188:DTYPE=3:DEFNAME=Space station:DEFCLASS=C:MAX_SCRAP=24:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1202750892:SEED_D=-1340026083:NAME=Stratford
+OBJ_179440485|P=SYS_596645188:DTYPE=3:DEFNAME=Space station:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1157876430:SEED_D=463424185:NAME=Gotaeri
+OBJ_1164002310|P=SYS_596645188:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=18:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-29771483:SEED_D=-1653011622:NAME=Delta Cephii
+OBJ_1087227599|P=SYS_596645188:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-232167576:SEED_D=732108173
+OBJ_1172965562|P=SYS_596645188:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-663353836:SEED_D=-332045646
